Dynasty,Author,Title,Content,lable
Yuan,周密,雪晴小步留饮村舍,散步小逡巡，茅檐爱日新。梅知春意思，山借雪精神。减曲篘村酿，加笾荐野珍。萧然捐世虑，自谓葛天民。,4
Ming,尹铉,其二,禄食投闲里，诗书抱病馀。保慵从世笑，持拙任交疏。有眷才三口，何山无弊庐。祗缘恩未报，归计失耕渔。,5
WeiJin,棘嵩,赠荀彦将诗,光光国宝，曰瑜曰瑾。济济清朝，曰髦曰俊。瑜瑾既琢，有温其润。髦俊既集，芳风其振。（一章）显允荀生，天挺厥真。沈识胁敏，温粹淑仁。初应宰命，徽音惟新。遂假蒲密，简在至神。（二章）时惟惠后，黎人攸绥。乃授明德，赋政近畿。戢翼太清，翻然凤飞。寻此遐跃，曜彼远晖。（三章）昔在豹产，显名当时。及尔祖公，播声于兹。赫赫显名，在尔扬之。穆穆播声，在尔光之。（四章）孰谓玉宝，匪我所珍。孰谓言轻，乃重千钧。勉树惠化，敬乃厥身。引领南望，望子清尘。（五章）,0
NanBei,萧子范,歌（七诱系此歌。）,井上李兮随风标。垂翠帷兮夜难晓。独处廓兮心悄悄。怀素缕之双针。愿因之于三鸟。,1
Ming,史监,其三,攀萝扪磴上崔巍，十步丹梯九折回。夜静高峰先见日，云深阴洞自藏雷。飞泉影落银千丈，老桂香分露一杯。到此都忘尘土念，争教心虑不成灰。,5
Tang,李益,送柳判官赴振武,边庭汉仪重，旌甲似云中。虏地山川壮，单于鼓角雄。关寒塞榆落，月白胡天风。君逐嫖姚将，麒麟有战功。,2
Yuan,元世祖,陟玩春山纪兴,时膺韶景陟兰峰，不惮跻攀谒粹容。花色映霞祥彩混，垆烟拂雾瑞光重。雨沾琼干岩边竹，风袭琴声岭际松。净刹玉毫瞻礼罢，回程仙驾驭苍龙。,4
Yuan,尚仲贤,赚煞,则今日赴皇都。离边塞。把从前冤雠事解。直至君王御案上拆。一件件禀奏的明白。便道不应该。未有甚汗马差排。且权做行军副元帅。云：军师。唱：你与我整三军器械。紧看着营寨。则我这手儿𥚃将的印牌来下。,4
Qing,丁澎,左莱阳著书宅,生平苦忆左莱州，谪去龙沙万里流。按曲能传中散调，遗书应耻茂陵求。黄榆夜雪长驱犊，紫塞春风几换裘。潦倒暮年夸健笔，至今辞赋满沧洲。,6
Yuan,李承休,次灯明寺板土韵,好事金鳌戴玉峰，涌苍波上上磨空。浪成鹤瘦僧誇格，露出天悭地诧工。鸡未鸣时楼得日，蜃初喷处海翻风。塔台奇致如相识，须待朝暾万顷红。,4
Qing,尹耕云,登山至大悲寺舍骑步行达龙王堂,骏足有穷处，芒鞋凌丹梯。不知所历高，但觉天容低。只身入无境，回首迷故蹊。溯涧蔽圆景，攀岩窥阳曦。相违咫尺间，明晦殊参差。落叶纷四山，樵苏供群黎。奈何山中僧，启阖颇有时。牧儿藉草坐，牛羊满山陂。何当息尘贺，从汝相遨嬉。,6
Ming,方文,喜槁木师至,闻君春到石头城，将妾和儿赠友生。此事太奇终有悔，天恩难断可无情。既归白业家何定，欲返黄州路未平。江上故人多古义，东郊应与结茅成。,5
